mfcc,chroma,mel,label
-362.64273~171.86511~31.609467~-2.6462736~-4.548389~-9.674724~-30.250704~9.853696~2.3586278~-31.609682~-18.319992~-5.710287~-2.9316318~-23.628632~-14.398485~-1.481314~-6.004042~-9.905662~-15.041546~-4.2781453~-12.810458~-13.610521~-10.136023~-13.144708~-6.626036~-15.935508~-14.879945~-7.537924~-3.5692806~-6.301991~-16.2979~-7.8414664~-2.591251~-10.0620165~-7.7138815~2.5792675~2.0234048~1.9001032~8.660887~10.05284,0.39548326~0.33448762~0.4598352~0.57660437~0.4981372~0.43521306~0.48626444~0.61181486~0.6789813~0.69758373~0.6724014~0.55050045,0.0001340776~0.0010399981~0.009808689~1.2122078~8.30218~52.616203~112.54047~22.784498~0.96934205~0.61104053~0.6997736~7.285571~19.994413~19.36504~9.393405~2.4587543~0.19059251~3.0658581~18.076193~21.52812~9.494871~2.5429356~0.22036463~0.17621608~8.930886~12.169638~4.2785363~2.0517235~0.85664064~0.18203194~1.3237314~4.4792852~2.2562802~0.96972466~0.3017319~0.17873275~4.864645~8.070973~1.4357336~0.12184821~0.048214328~0.25280246~0.6880521~0.86094165~0.6930085~0.52384686~0.16813707~0.5037717~0.18883862~0.0985442~0.017247584~0.021923127~0.010457503~0.0077702682~0.0031212964~0.0011649258~0.004316916~0.0023888608~0.002000368~0.0014622179~0.0015705762~0.0062980456~0.008334589~0.035818025~0.07620098~0.06803563~0.07070389~0.049487468~0.012618068~0.011326092~0.0038738549~0.0059651313~0.014893138~0.010024374~0.0026158174~0.0010859238~6.874193e-05~2.6504e-05~6.1104816e-05~0.00017251082~0.00029263407~3.761272e-05~1.1835199e-05~0.000107725675~1.5777856e-05~2.136158e-08~3.7487244e-08~6.272608e-06~0.000100706464~9.1423055e-05~1.357494e-05~1.73833e-05~1.1777643e-06~7.975837e-06~0.0002269005~0.0023926042~0.0009953269~1.972086e-05~0.0001259057~0.00046846285~0.0003881077~0.00015365239~6.435904e-05~0.00020955027~0.0006951352~0.0004175646~0.0011498497~0.0018854799~0.0004911613~9.228094e-05~2.1024909e-05~2.8315142e-06~3.4823353e-07~4.974895e-07~2.0238593e-07~1.4708166e-07~3.6292232e-07~4.773465e-07~1.2985299e-06~7.0753595e-07~9.755253e-08~6.670722e-08~4.172864e-08~5.3223687e-07~1.4991468e-07~1.1892243e-08~8.337475e-09~2.5013835e-09,fear
-307.14844~80.30427~-2.7825806~31.537178~-10.23045~16.682323~-30.90052~-7.1434326~-11.922186~-24.820545~-33.005634~-20.182898~-23.239367~-16.862797~-4.6377444~-5.4083757~-12.222567~-10.036783~-8.798249~-25.925613~-13.646869~-18.295843~-16.449343~-10.615651~-11.867496~-9.508302~-14.157879~-8.268213~-5.1048717~0.78304774~7.3964705~13.028363~20.33369~23.420929~12.729059~11.491383~1.7096195~-1.8831316~-1.4453034~1.3278993,0.8398407~0.57216793~0.34495994~0.24541609~0.2034528~0.19261467~0.241633~0.26913792~0.2908428~0.3651163~0.59191024~0.8492841,3.4606797e-05~9.441468e-05~0.00045068318~0.0017708922~0.02558107~1.7478917~76.98686~197.94185~68.15146~2.1826415~0.24965549~0.0785103~0.103514716~0.7838957~13.376725~52.49674~57.41922~23.027065~1.1968414~0.10940407~0.01948428~0.018536685~0.13810837~0.2142947~0.124095865~0.030668523~0.008779219~0.0054244082~0.012475088~0.068678856~0.5222423~1.988089~2.4143555~1.4692061~0.3250336~0.11703492~0.054316256~0.20139956~0.37087664~0.121937856~0.067436345~0.016033724~0.019862153~0.12517866~0.12972745~0.020563759~0.011499908~0.061532132~0.11512166~0.06818538~0.05638533~0.047254615~0.14278111~0.06499523~0.02925566~0.06974423~0.050095785~0.015388645~0.009878687~0.01295993~0.011523388~0.019364849~0.026022384~0.016086247~0.019109406~0.032119952~0.015790321~0.023176659~0.024035119~0.024359453~0.022449227~0.020441826~0.035701875~0.018396651~0.011218266~0.007670496~0.009058247~0.0031493765~0.0026972895~0.0031318848~0.0029191242~0.002956819~0.0052634594~0.004008046~0.0035432496~0.00845836~0.0071354858~0.011505785~0.016194558~0.008862351~0.010595202~0.008160303~0.008300774~0.010445069~0.017073657~0.020419555~0.012141227~0.01335863~0.012572234~0.011966368~0.014304456~0.013800928~0.010811821~0.012130354~0.0071179103~0.0027566357~0.0026861834~0.004578946~0.005774942~0.007473576~0.005126357~0.0037725621~0.00380787~0.0032374156~0.0039034572~0.0029286689~0.0018993147~0.0011369655~0.00061151624~0.0003543255~0.00013723543~5.5150867e-05~5.9960104e-05~5.6766796e-05~3.9199596e-05~1.9370273e-05~9.72537e-06~3.5340329e-06,fear
-321.43823~73.30721~-19.949665~12.546314~-26.15108~7.4361944~-17.69491~-15.876268~-20.481651~-18.986706~-21.12293~-18.783009~-13.207455~-7.5527673~-9.705519~-9.015056~-9.701822~-10.179327~-13.714566~-13.602473~-5.302571~-5.029087~-9.316513~-12.764395~-7.55812~-2.6352723~-2.4364061~0.8620527~-0.09667593~4.238561~4.3152857~2.1935747~2.5015962~-0.65355873~-1.1393207~1.0667241~0.12950833~1.6637243~2.0056646~2.3084314,0.66133016~0.64020467~0.6891612~0.65290177~0.60806~0.5455506~0.5105683~0.5356533~0.5763986~0.62878054~0.625811~0.6237668,1.08910735e-05~4.046929e-05~0.00035527014~0.031540774~0.27881324~0.73918015~2.7439814~5.2221704~10.284932~9.241705~5.0414577~2.8419695~1.7099283~3.8391159~5.692154~7.0085297~7.3632436~8.208476~8.796707~11.206977~3.1553853~0.6825515~1.4150084~1.5450771~1.629829~1.0417176~1.0427841~0.93269324~1.5452431~1.7129487~0.47327402~0.4319688~0.43490282~0.7736926~0.72895235~0.82918704~0.6834617~1.4182497~1.8142687~0.79383284~1.2520063~1.8385216~0.7454234~0.1771063~0.06375622~0.22686608~0.283438~0.3066115~0.428324~1.5487627~1.3535211~0.52550435~0.19593306~0.16008274~0.2158885~0.25537536~0.05012708~0.05784306~0.07266408~0.13193074~0.18674162~0.10209962~0.07714802~0.072412394~0.13159746~0.05993899~0.030308934~0.018943453~0.021232132~0.018475883~0.015945127~0.02628379~0.025224226~0.01760597~0.014860354~0.017802812~0.04643884~0.047261786~0.023268184~0.038067166~0.059905723~0.04786474~0.041210514~0.066601165~0.09157855~0.04476683~0.052827995~0.05624136~0.045547638~0.06012994~0.059775714~0.047970954~0.06054709~0.07641047~0.06342722~0.06695345~0.05665525~0.064251326~0.047573302~0.050408635~0.033250745~0.03403947~0.03710438~0.04013028~0.038656134~0.028877897~0.024550127~0.015469112~0.012656853~0.009557743~0.010182426~0.0078109573~0.011933266~0.009562135~0.007710072~0.0052279113~0.0035553635~0.0023897134~0.0020361056~0.0013374977~0.0011720092~0.0009522986~0.0004249557~0.00037290473~0.0002581772~0.00016228868~8.638579e-05~3.4820558e-05,fear
-276.68408~92.20169~-22.53424~43.19357~-8.839651~22.980114~-8.3950405~-17.291954~-11.428269~0.07620498~-10.510895~-12.520442~-16.38363~-13.893855~-6.428408~-6.667737~-5.2617393~-4.1065116~-0.98539215~-10.902717~-11.428378~-6.4233375~-10.939431~-5.4558~-6.5605617~-3.868625~-11.025809~-7.190856~-10.215589~-8.653162~-6.9532113~-4.6737614~-9.126481~-9.877262~-8.486095~-4.0180793~-6.393572~-3.4686403~0.13191174~-1.7703873,0.6374303~0.5868619~0.5890241~0.61627984~0.5961098~0.59476763~0.628201~0.6744968~0.6350122~0.6409038~0.6513872~0.6422204,0.00023167639~0.0059715505~0.4594728~4.9162984~12.449457~18.472006~13.275543~2.1690557~2.5145948~6.12383~10.636551~12.410091~17.955614~20.394629~11.996539~5.1711287~4.543048~4.5015507~2.932804~2.9391837~0.99791884~0.81000286~0.92652476~0.3454252~0.1409802~0.2038425~0.6090915~0.58878~0.3311737~0.28244367~0.31628534~0.20809092~0.3075491~0.43707287~0.19079629~0.09374368~0.11818575~0.07234389~0.0483782~0.06712886~0.114196114~0.25356036~0.26800424~0.32856956~0.21119007~0.23879646~0.28107598~0.6021589~0.18505663~0.19611399~0.3933995~0.43332484~0.43611914~0.3576904~0.25281072~0.16847228~0.1394398~0.1712471~0.124879636~0.15471722~0.16939284~0.05840903~0.031941302~0.055770937~0.085817665~0.1272901~0.21800677~0.2208771~0.14435194~0.14800325~0.18638034~0.17410932~0.12100361~0.06699568~0.15410915~0.19066513~0.07935609~0.08503767~0.10168217~0.10393224~0.11222816~0.21777393~0.15168737~0.14806646~0.1990911~0.15790199~0.21965705~0.42192012~0.4452282~0.28966147~0.23418033~0.18024491~0.15573719~0.13773061~0.08800198~0.082417086~0.06445082~0.06074871~0.04083466~0.024183525~0.024563981~0.02467732~0.03346925~0.029245563~0.021528818~0.013463746~0.009312579~0.008946029~0.00694628~0.0058675935~0.0031633384~0.0029732874~0.0031827749~0.0020634485~0.0011880309~0.00086581544~0.00042079526~0.00016249024~0.00010086209~9.4016825e-05~9.2955364e-05~0.00010809246~0.000104268816~9.103197e-05~6.821791e-05~3.294716e-05~1.1510204e-05~3.4087693e-06,fear
-395.0287~66.39418~-11.13468~18.986286~2.6270602~5.4846873~-7.0380974~-0.0243686~-1.6359406~-6.8977485~-6.171639~-0.30059725~-4.198498~-1.6681497~4.5424957~8.149626~6.8140144~-0.9766647~-4.204827~-3.210003~-0.69118273~-6.027925~-0.8652235~-0.38824242~-5.190899~-0.23206557~1.1035696~-0.42712474~-1.2114873~1.5669127~2.5504477~1.854496~0.4409444~0.6221291~2.0825105~2.6142955~0.9915523~0.41065434~1.0692047~2.021954,0.6174733~0.5901173~0.57791877~0.5256044~0.4515177~0.463609~0.50480497~0.5646423~0.6093125~0.62110794~0.6398718~0.620357,0.0028092896~0.003335798~0.00560891~0.005134062~0.0031610106~0.07093355~0.6032273~0.625106~0.35024536~0.21857144~0.26749387~0.30441183~0.8517579~1.5020529~3.226536~5.6301503~3.9711893~11.768123~7.489619~2.2746325~0.49809107~0.1621968~0.086051546~0.019297624~0.01750146~0.021869762~0.035543256~0.0500526~0.050269313~0.1520357~0.24337313~0.20984805~0.31111816~0.5899933~0.70577735~0.77565664~0.750762~0.4298621~0.09474696~0.12931374~0.20013823~0.1754119~0.079514936~0.029895473~0.027480409~0.0447466~0.08149609~0.102648765~0.18986082~0.120303616~0.033786602~0.029169757~0.027937012~0.015487695~0.014337547~0.015484713~0.033692718~0.15779343~0.041290466~0.015042823~0.011807591~0.006063992~0.004376122~0.019209955~0.07821434~0.034759063~0.01208848~0.029398933~0.03796178~0.052377146~0.06222191~0.007916366~0.012240345~0.009126813~0.005173467~0.00409613~0.008378507~0.006044734~0.0056042867~0.0045207175~0.0060233935~0.0034130656~0.0034186165~0.0027241588~0.0032052156~0.004519593~0.003429515~0.0077354363~0.013139205~0.012501189~0.013759199~0.020467244~0.010654426~0.01082761~0.009988694~0.008452579~0.012052602~0.006706314~0.004631544~0.004442261~0.003843404~0.00407576~0.0034379892~0.002525565~0.0012115508~0.0008140087~0.0006621944~0.0005471351~0.00064022955~0.0006535346~0.00062778004~0.00053579564~0.00044520598~0.00035454755~0.00026427093~0.0002185993~0.00013595649~7.5366384e-05~3.4481596e-05~2.1302403e-05~1.5644744e-05~1.6590113e-05~1.3745663e-05~8.640544e-06~7.190451e-06~4.974795e-06~2.948966e-06~1.7009955e-06,fear
-352.83328~87.189575~-4.977742~21.954952~8.6780615~18.179033~-13.085876~1.7628231~1.1803299~-6.7022824~-7.3477416~2.80981~-4.7050147~-5.9006224~-0.6319815~0.6940938~-1.34896~0.43736553~-1.3952684~-4.184374~-1.5436171~-0.13820866~-5.065021~-1.9031441~-4.2269435~-3.2544072~-1.4442598~-4.509983~-3.9909546~-3.5288715~-2.3939803~-1.7387388~-3.759311~-1.4382962~-2.1209424~-1.9172287~-3.1735606~-0.5879749~-3.5885913~-2.1556206,0.68953496~0.6805716~0.69729716~0.7257969~0.73485744~0.72101897~0.67413896~0.65196115~0.6698756~0.6927571~0.7155673~0.70557505,0.6149082~0.7986189~0.99800813~6.0836616~18.83983~11.6258135~2.1211667~1.3265904~6.2840853~10.679917~9.2765665~4.251694~4.4176254~5.3016796~10.110812~15.178563~7.0859137~5.064829~1.809574~2.5616362~3.9102066~2.1411023~1.9863688~0.3979676~0.38252628~0.7882515~0.63484377~0.31739438~0.31191328~0.33298633~0.611176~0.57062006~0.27391413~0.46806687~0.53201854~0.752299~0.46009558~0.13997144~0.35308003~0.40413642~0.19637343~0.10340297~0.1577604~0.12668015~0.10898646~0.17574756~0.3551019~0.36307195~0.2913292~0.7345115~0.35393706~0.14213891~0.1604517~0.17165932~0.11568295~0.13461085~0.08239363~0.12897474~0.1759161~0.21146582~0.23874174~0.1422804~0.10884639~0.08295915~0.07662598~0.11380124~0.11583466~0.13884139~0.12572815~0.078287676~0.042198494~0.034512427~0.030014677~0.02695294~0.023160106~0.02129787~0.016927768~0.015392403~0.016750364~0.020794049~0.024429232~0.028046893~0.02781354~0.021418655~0.0311845~0.03875722~0.037024427~0.04294423~0.03178638~0.021770947~0.017333165~0.021545872~0.02232582~0.017746896~0.010940168~0.011029105~0.014543154~0.0111537725~0.009968874~0.0086109135~0.00770068~0.0068452084~0.0058890693~0.005060777~0.004560335~0.0046413774~0.0043035285~0.005031157~0.005127195~0.004703855~0.0035726966~0.0026692117~0.0020041475~0.0011800327~0.0010120074~0.0010000388~0.00084285607~0.0006475947~0.00051702367~0.00040229093~0.00031476113~0.00027610318~0.00027440762~0.00025071064~0.00016541194~0.00011331153~8.594004e-05~4.5558834e-05,fear
-302.5202~103.226906~-32.979904~1.0557581~-17.944004~0.13917522~-40.732735~-10.76993~-19.436275~-39.30084~-22.971169~-3.1170542~-20.460796~-15.326308~-10.052954~-14.77153~-9.186548~-11.548706~-21.54405~-9.280703~3.8153906~-7.6466713~0.25647032~1.198419~-6.0207233~-4.870308~1.5398247~-1.2780418~-1.9019305~4.122073~-3.4962742~-1.7291415~2.9759827~1.3568428~1.5026673~5.135428~-0.6123118~1.836309~3.0896194~2.4390132,0.43737835~0.4145538~0.4314266~0.4689191~0.4656289~0.4825758~0.49636692~0.5316675~0.54575115~0.48839328~0.48686776~0.48185885,2.3238474e-05~0.0005329316~0.004072224~0.011188597~0.06443139~0.5202707~6.3041463~8.37274~3.9355721~8.126313~14.709281~13.023781~11.874736~7.5031266~6.922463~9.129315~5.4270444~9.166717~7.806955~8.119196~5.3400335~6.549517~7.5769315~5.305492~6.067702~6.4782567~5.3307543~1.5380751~0.5417154~0.5090577~1.2309076~3.7568724~4.7509704~4.375804~2.981939~2.656814~1.5947182~1.5661814~3.9248753~2.2048943~0.51939064~1.3234632~0.89415574~0.4713597~1.297507~2.5774882~7.357173~4.529323~1.5757859~2.5894947~2.172875~0.74053454~0.4191389~0.31851265~0.23883325~0.10415664~0.061792433~0.116777524~0.09286223~0.40979367~0.3618779~0.14795028~0.2582069~0.4143026~0.61816597~0.49415138~0.35052723~0.27341798~0.40986097~0.23685318~0.13936843~0.07324766~0.0339122~0.06280104~0.057996973~0.060183916~0.041001018~0.031589992~0.041096926~0.017747642~0.0055476893~0.0041353144~0.0020569293~0.0008697868~0.0021311683~0.005217297~0.01453244~0.01744597~0.025782397~0.047545806~0.028983383~0.019665712~0.03459085~0.048789665~0.044531215~0.03732353~0.032071654~0.019323552~0.026884252~0.018014798~0.024363343~0.026046788~0.020800272~0.015679942~0.015407594~0.0090398425~0.0069779507~0.00941763~0.008466039~0.009291598~0.006673788~0.005403189~0.0056648506~0.0039046595~0.0031143792~0.0023905267~0.0016427625~0.0008613567~0.00046023572~0.0002197059~0.00010846467~4.768318e-05~5.7256468e-05~5.51539e-05~5.3458614e-05~3.8853177e-05~2.21927e-05~8.495458e-06,happiness
-334.4074~133.5~-13.763193~-15.27763~-16.786482~2.6045165~-38.3265~-15.304204~-2.380797~-21.50937~-25.15624~-16.019327~-12.06098~-26.54608~-8.083598~-8.541027~-6.6941185~-4.179373~-21.35898~-8.200011~-16.079834~-16.389025~-17.289618~-8.334534~-7.3541656~-13.592758~-9.664132~-4.331531~-3.0738702~0.7224045~9.212725~9.59274~6.115484~8.096444~8.921504~4.027944~-0.09392859~2.7983115~4.465548~3.094769,0.72058094~0.5702335~0.4349033~0.3440185~0.3173117~0.3226273~0.35291806~0.42768365~0.40886492~0.46171075~0.586371~0.6934286,9.815456e-06~0.00011116572~0.00075061567~0.0025954698~0.06460879~1.2403969~7.4198794~14.891981~13.784519~2.1969175~0.20716237~0.21796831~0.608446~1.9951822~4.796899~11.456331~13.835923~10.019223~5.097663~2.4885004~1.2153705~2.8177536~3.2713535~2.1404188~3.4921231~1.8124335~0.40898687~0.7487358~4.1001287~6.549078~6.532333~17.009459~12.981125~7.255309~1.2132553~1.2393676~1.5542186~0.49260053~0.35202456~0.25899512~0.47285163~0.9824774~0.3667698~0.1461949~0.2894647~0.85570425~0.7656315~0.13690029~0.1125524~0.3520699~0.52123517~0.38602325~0.11853638~0.15689752~0.13265169~0.12810263~0.020453481~0.03034893~0.048427977~0.05567458~0.05383074~0.08043485~0.14631109~0.07288989~0.056649733~0.1650976~0.105763085~0.059436325~0.054579798~0.036315683~0.0073177177~0.006675389~0.005942012~0.0057465~0.0055182707~0.0097590275~0.002827573~0.0026686285~0.005963341~0.0056978227~0.0011874201~0.00086351373~0.0035703112~0.0035826596~0.00487057~0.008196999~0.0026423635~0.0073281853~0.0074363654~0.00925528~0.010843487~0.0126157~0.012756084~0.004089406~0.0064288313~0.008368561~0.00814067~0.004236214~0.0027241765~0.0029540656~0.0036712~0.0039606225~0.004468112~0.004767822~0.0016741335~0.0020123392~0.0044285883~0.0037192493~0.0032979592~0.0026571508~0.001034905~0.0009876011~0.00089620415~0.00045552093~0.0001928175~7.218485e-05~4.985926e-05~3.9491737e-05~5.7481422e-05~9.950552e-05~0.00010828168~0.00012321284~0.00011434121~7.836305e-05~5.091723e-05~2.5672898e-05~6.410669e-06~8.2949884e-07,happiness
-269.40747~81.17535~-13.2042885~17.83492~-32.73656~13.364954~-22.21405~-18.321497~-11.201082~-7.512811~-25.952637~-17.012014~-7.3217463~-12.803589~-15.874932~-10.125148~-8.04547~-12.517882~-15.620562~-14.8043165~-3.9828334~-8.201451~-6.3124995~2.783342~-2.7158477~-2.7447112~-7.1183662~-5.616506~-4.7026315~-2.0848258~0.7450787~0.94139737~-1.5095986~-1.4929972~-4.146723~-0.116069466~1.6099824~2.9440405~2.2342844~1.2900453,0.5667027~0.5840897~0.5432278~0.5323657~0.58714646~0.58169276~0.5539332~0.48727426~0.5193767~0.49593768~0.4809494~0.5351028,8.970752e-05~0.0028904337~0.043355208~0.27565935~0.9611453~5.849094~19.772394~15.391079~12.419837~8.3223~11.15246~7.4757004~10.587984~13.848235~10.626711~8.833836~5.2222104~4.998607~2.7132657~2.0605285~4.704845~9.154912~14.641363~10.709546~3.0786698~0.36206394~0.5361361~1.003631~0.82450473~0.43141022~0.52449566~1.5795654~3.7316363~5.761221~8.324484~7.8000517~2.043128~1.0786929~0.6708668~0.91702235~2.2711356~1.3700007~1.414597~2.507207~1.3943359~0.27674094~0.24182908~0.33271715~0.32083806~0.31182885~0.38932773~0.38367093~0.67863476~0.86422485~0.7099958~0.15422077~0.10652205~0.25471985~0.37631142~0.34110177~0.27938703~0.25580475~0.26204452~0.12251284~0.18641467~0.24166569~0.07709028~0.028690932~0.01801374~0.016853401~0.009540822~0.011361963~0.011500331~0.007502595~0.0075819115~0.019601496~0.040417776~0.05006427~0.01755891~0.026166871~0.05339579~0.04134636~0.026346462~0.033921596~0.051124003~0.031128017~0.050832544~0.0758033~0.06361087~0.07088388~0.07474195~0.050672725~0.048018113~0.035077102~0.025607668~0.032013297~0.026460728~0.029534463~0.037236076~0.04314233~0.046643395~0.040650923~0.0368993~0.02371993~0.014992689~0.011790558~0.010372184~0.0071091186~0.006469894~0.0063737254~0.007582426~0.0068812356~0.0068025193~0.0050437516~0.0040244176~0.0029680838~0.0021716598~0.0016747288~0.0011670904~0.0008020892~0.0006196602~0.0004798287~0.0004992721~0.0005175343~0.00042940243~0.00034535324~0.00019627568~8.694954e-05,happiness
-309.18796~93.243195~-26.68016~14.259136~-29.130154~11.729285~-21.404373~-16.48315~-14.336387~-13.640438~-20.018602~-17.92917~-13.245375~-10.916539~-2.1462896~-9.179415~-16.491858~-5.5484414~-1.0192342~-18.473112~-14.050501~-7.7126036~-11.637599~-9.031691~-14.254944~-6.283405~-7.1216264~-3.63239~-4.3590455~-1.0620265~-4.0950785~-2.7329636~-3.0214565~-0.4529467~-6.001717~-2.3118947~0.018973477~0.0756982~2.1758168~1.9174036,0.61029124~0.63892686~0.6681957~0.63647527~0.5673626~0.49483573~0.47867653~0.52334696~0.57462484~0.5833132~0.5498844~0.5543385,5.4438665e-06~9.1110946e-05~0.0030925318~0.14099783~0.7464029~1.4511685~1.9065086~1.181636~0.95964575~0.6930974~1.1941429~0.9596461~2.2603805~2.8489597~1.8790492~4.3756576~7.6310415~9.697707~12.132735~11.310875~5.1374407~1.9032354~0.7346098~0.23989332~0.44297233~0.3951712~0.67283183~1.6233015~1.9239132~2.1063~1.5406201~1.5582937~0.95149994~0.9583536~0.7094318~0.5656057~1.1200662~0.97047895~1.2763473~1.540589~1.5782154~1.0759557~0.49678496~1.0129936~0.7034495~0.7601339~0.6715057~0.5365986~0.39459786~0.33183816~0.12274119~0.16575797~0.124905065~0.26259416~0.20676282~0.22697353~0.27218083~0.30676144~0.31027013~0.15645438~0.08460122~0.05285606~0.0317336~0.018591583~0.012725605~0.008488745~0.0091996975~0.030953173~0.048918422~0.06116303~0.07970078~0.055453353~0.028026221~0.02129176~0.023509307~0.022239741~0.0077197114~0.019711971~0.014282897~0.0098100575~0.009651376~0.016700117~0.02695039~0.027062211~0.043647017~0.030334227~0.037103314~0.07078689~0.089665994~0.08260275~0.058083065~0.028810948~0.030293198~0.031739254~0.031563234~0.028322546~0.023322783~0.02112969~0.021346582~0.028722761~0.027845714~0.02225167~0.02107834~0.013458127~0.0070164064~0.004453613~0.003279716~0.0030768893~0.0028490883~0.0023993659~0.002207231~0.0013094026~0.0011009309~0.0010605102~0.00057143695~0.00026785184~0.00014063799~7.7001816e-05~4.0265604e-05~5.001204e-05~6.264466e-05~6.4784865e-05~7.965344e-05~7.077641e-05~4.6502817e-05~2.0663989e-05~9.540341e-06~4.2672054e-06,happiness
-314.57092~89.92109~-47.871544~-3.6337178~-11.6372385~-8.972035~-29.38765~-9.173536~-20.134491~-20.834785~-17.779884~-7.354581~-18.382019~-15.819648~-10.83936~-5.2585692~-3.3118556~4.256956~-2.9829226~-3.5507715~1.6934859~-4.3549166~-0.17727482~-3.6820564~-7.144011~-0.5247657~4.352893~3.4393928~-3.2282407~-1.5489908~5.3643875~3.844757~0.98682326~2.1384683~3.340242~7.9861035~5.7065253~2.304254~-1.7386953~3.4601183,0.4556054~0.47257295~0.5146652~0.43820104~0.3887856~0.42081916~0.4627336~0.50900894~0.5711669~0.6425218~0.63001955~0.5076968,0.0012747371~0.001975808~0.0012542525~0.001083985~0.004993371~0.0972905~3.8076653~11.782364~7.6327634~4.3995886~4.217316~3.28061~5.12305~9.465995~14.405671~6.3500338~0.9830608~2.8667877~4.2697983~4.69669~1.6912652~0.31905597~0.66686213~2.853137~4.986276~2.7022803~2.281549~1.6921788~3.727315~10.166618~4.525591~1.0075088~0.8100909~0.63998413~0.5751767~3.5745804~4.8030047~1.3300942~1.0807532~0.7468312~0.32772884~1.3216459~2.1224916~1.3613486~1.2191081~2.5009766~1.7733262~2.3594751~1.4481088~0.6134779~1.5164973~1.5051998~0.36762416~0.08960582~0.039024018~0.049345728~0.093073785~0.54783237~1.1271335~0.36125112~0.13828078~0.078146935~0.083242394~0.26161072~0.2740291~0.21519002~0.33605757~0.16139121~0.3772541~0.18813561~0.10756732~0.10350841~0.06588219~0.032952864~0.026951527~0.027954383~0.054956086~0.025963146~0.016067306~0.024633048~0.01448224~0.010909812~0.0049037826~0.009608695~0.023816848~0.03146668~0.030268954~0.046789877~0.046153486~0.04984484~0.052642725~0.03430474~0.017699858~0.017404519~0.018599516~0.018686855~0.018920496~0.009898904~0.00660894~0.007093053~0.0066804653~0.0038153082~0.004012978~0.0033449715~0.003192896~0.0027622601~0.0024536692~0.0016766322~0.0022272523~0.0020620842~0.0008701646~0.00085149694~0.000820091~0.000745759~0.0007240775~0.00061963726~0.0006383106~0.00058251806~0.0004968962~0.00038803532~0.00022689895~0.00015053402~0.00010307479~9.646272e-05~8.5312786e-05~6.0655355e-05~3.0691426e-05~1.3919926e-05,happiness
-436.14502~70.069954~10.229075~12.162368~7.8872247~17.021389~-6.858712~6.668929~6.774135~1.4348598~-1.8475373~8.547653~0.23155697~-1.2554958~1.2841586~1.3633058~0.23383538~1.8155392~1.3479862~-0.6178924~-1.0385054~-0.87170583~-1.1569443~-1.1092191~-2.268864~-0.66975147~-1.8571001~-0.83610076~1.6140356~1.2094741~1.3820093~3.2348142~3.4301107~2.3892303~1.3117671~3.044643~2.6035612~3.1873405~3.4099433~3.0534384,0.7315625~0.69921917~0.67245996~0.6683196~0.7042276~0.7088575~0.72458357~0.7649152~0.75984955~0.7402417~0.7411302~0.74002975,0.28281167~0.07323075~0.5425606~1.7703599~2.8080742~3.4949543~6.268676~8.970831~10.099289~2.6329463~2.089507~2.877374~3.526719~4.366801~4.0412717~3.9465637~3.729156~5.154947~2.3241389~1.7896718~1.7311802~1.5318995~1.6871405~1.5237311~3.432043~3.395255~2.6049712~1.1626935~0.8973709~0.7590195~0.68097633~0.6495908~0.2932326~0.44197226~0.5140964~0.3831035~0.2423936~0.20225678~0.19508564~0.2287306~0.30589446~0.42587602~0.38006043~0.20835467~0.21431133~0.28524008~0.3608656~0.23405871~0.10499706~0.08197906~0.07661963~0.0879104~0.09837096~0.098090544~0.07849754~0.089743465~0.08082902~0.088344246~0.07265849~0.06797962~0.06624741~0.05823772~0.05410156~0.071279116~0.08118831~0.064280935~0.05359897~0.033901837~0.022799425~0.026138132~0.02028607~0.023279382~0.020123033~0.0142148165~0.009522446~0.003485035~0.0040565967~0.004457438~0.0037182667~0.0029487298~0.0027804726~0.002297944~0.0031696556~0.003893963~0.0031704835~0.0024564385~0.0027276257~0.0023260652~0.0023804796~0.0028353508~0.0025101937~0.0026509722~0.0020398663~0.0019539637~0.0021991667~0.0028939066~0.0021080407~0.0015591487~0.0013394799~0.001803903~0.002507625~0.0031489222~0.0028529568~0.0020518235~0.0023687542~0.0025185472~0.002937628~0.0028258164~0.0025859154~0.00213926~0.0017472723~0.0017037407~0.0013255944~0.0010515021~0.00077744096~0.00068593194~0.00060636003~0.0004937605~0.00034412733~0.00023364135~0.00014858358~9.9939876e-05~9.020282e-05~7.782196e-05~6.079979e-05~4.1369254e-05~2.5391013e-05~1.623282e-05,happiness
